ID,CPC21code,CPC21title,CPC21ExplanatoryNote
1509,"3512","Artists', students' or signboard painters' colours, modifying tints, amusement colours and the like",
1510,"35120","Artists', students' or signboard painters' colours, modifying tints, amusement colours and the like",
1511,"3513","Printing ink",
1512,"35130","Printing ink",
1513,"3514","Writing or drawing ink and other inks",
1514,"35140","Writing or drawing ink and other inks",
1515,"352","Pharmaceutical products",
1516,"3521","Salicylic acid and its salts and esters",
1517,"35210","Salicylic acid and its salts and esters",
1518,"3522","Lysine and its esters and salts thereof; glutamic acid and its salts; quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids; acyclic amides and their derivatives and salts thereof; cyclic amides (except ureines) and their derivatives and salts",
1519,"35220","Lysine and its esters and salts thereof; glutamic acid and its salts; quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids; acyclic amides and their derivatives and salts thereof; cyclic amides (except ureines) and their derivatives and salts",
1520,"3523","Lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring, a pyrimidine ring, a piperazine ring, an unfused triazine ring or a phenothiazine ring system not further fused; hydantoin and its derivatives; sulphonamides",
1521,"35230","Lactones n.e.c., heterocyclic compounds with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring, a pyrimidine ring, a piperazine ring, an unfused triazine ring or a phenothiazine ring system not further fused; hydantoin and its derivatives; sulphonamides",
1522,"3524","Sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.e.c.",
1523,"35240","Sugars, chemically pure n.e.c.; sugar ethers and sugar esters and their salts n.e.c.",
1524,"3525","Provitamins, vitamins and hormones; glycosides and vegetable alkaloids and their salts, ethers, esters and other derivatives; antibiotics",
1525,"35250","Provitamins, vitamins and hormones; glycosides and vegetable alkaloids and their salts, ethers, esters and other derivatives; antibiotics",
1526,"3526","Medicaments, for therapeutic or prophylactic uses",
1527,"35260","Medicaments, for therapeutic or prophylactic uses",
1528,"3527","Other pharmaceutical products",
1529,"35270","Other pharmaceutical products",
1530,"3529","Other articles for medical or surgical purposes",
1531,"35290","Other articles for medical or surgical purposes",
1532,"353","Soap, cleaning preparations, perfumes and toilet preparations",
1533,"3531","Organic surface active agents, except soap",
1534,"35310","Organic surface active agents, except soap",
1535,"3532","Soap and detergents, perfume and toilet preparations",
1536,"35321","Soap; organic surface-active products and preparations for use as soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent",
1537,"35322","Detergents and washing preparations",
1538,"35323","Perfume and toilet preparations",
1539,"3533","Cleaning and polishing preparations",
1540,"35331","Preparations for perfuming or deodorizing rooms",
1541,"35332","Artificial waxes and prepared waxes",
1542,"35333","Polishes and creams, for footwear, furniture, floors, coachwork, glass or metal",
1543,"35334","Scouring pastes and powders and other scouring preparations",
1544,"354","Chemical products n.e.c.",
1545,"3541","Essential oils and concentrates, aqueous distillates and aqueous solutions thereof; resinoids; terpenic by-products of the deterpenation of essential oils; mixtures of odoriferous substances of a kind used as raw materials in industry",
1546,"35410","Essential oils and concentrates, aqueous distillates and aqueous solutions thereof; resinoids; terpenic by-products of the deterpenation of essential oils; mixtures of odoriferous substances of a kind used as raw materials in industry",
1547,"3542","Glues and gelatine, peptones and their derivatives, and related products; caseinates and other casein derivatives; albuminates and other albumin derivatives",
1548,"35420","Glues and gelatine, peptones and their derivatives, and related products; caseinates and other casein derivatives; albuminates and other albumin derivatives",
1549,"3543","Lubricating preparations and preparations of a kind used for the oil or grease treatment of materials, except of petroleum; prepared additives for mineral oils; prepared liquids for hydraulic transmission, except of petroleum; anti-freezing preparations and prepared de-icing fluids",
1550,"35430","Lubricating preparations and preparations of a kind used for the oil or grease treatment of materials, except of petroleum; prepared additives for mineral oils; prepared liquids for hydraulic transmission, except of petroleum; anti-freezing preparations and prepared de-icing fluids",
1551,"3544","Modelling pastes; ""dental wax"" or ""dental impression compounds""; other preparations for use in dentistry with a basis of plaster; preparations and charges for fire-extinguishers; charged fire-extinguishing grenades; prepared culture media for development and maintenance of micro-organisms and plant, human or animal cells; composite diagnostic or laboratory reagents n.e.c.",
1552,"35440","Modelling pastes; ""dental wax"" or ""dental impression compounds""; other preparations for use in dentistry with a basis of plaster; preparations and charges for fire-extinguishers; charged fire-extinguishing grenades; prepared culture media for development and maintenance of micro-organisms and plant, human or animal cells; composite diagnostic or laboratory reagents n.e.c.",
1553,"3545","Prepared explosives; safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators",
1554,"35450","Prepared explosives; safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators",
1555,"3546","Pyrotechnic articles",
1556,"35460","Pyrotechnic articles",
1557,"3547","Chemical elements and compounds doped for use in electronics",
1558,"35470","Chemical elements and compounds doped for use in electronics",
1559,"3549","Other chemical products",
1560,"35491","Biodiesel","This subclass includes:- liquid biofuels derived from biomass and used in diesel enginesThese biofuels can be produced by:* chemical modification: producing a linear alkyl ester through transesterification of vegetable oils or animal fats with methanol * thermal processes, such as:** gasification followed by Fischer-Tropsch synthesis** pyrolysis followed by hydrogenation** conversion of sugar to hydrocarbons using microorganisms (e.g. yeast)This subclass does not include:- mixtures of biodiesel with diesel oil, cf. 33360"
1561,"35499","Other chemical products n.e.c.",
1562,"355","Man-made fibres",
1563,"3551","Synthetic filament tow and staple fibres, not carded or combed",
1564,"35510","Synthetic filament tow and staple fibres, not carded or combed",
1565,"3552","Synthetic filament yarn (except sewing thread and multiple or cabled yarn), not put up for retail sale",
1566,"35520","Synthetic filament yarn (except sewing thread and multiple or cabled yarn), not put up for retail sale",
1567,"3553","Synthetic monofilament and strip",
1568,"35530","Synthetic monofilament and strip",
1569,"3554","Artificial filament tow and staple fibres, not carded or combed",
1570,"35540","Artificial filament tow and staple fibres, not carded or combed",
1571,"3555","Artificial filament yarn (except sewing thread and multiple or cabled yarn), not put up for retail sale",
1572,"35550","Artificial filament yarn (except sewing thread and multiple or cabled yarn), not put up for retail sale",
1573,"3556","Artificial monofilament and strip",
1574,"35560","Artificial monofilament and strip",
1575,"36","Rubber and plastics products",
1576,"361","Rubber tyres and tubes",
1577,"3611","New pneumatic tyres, inner tubes, solid or cushion tyres, interchangeable tyre treads, tyre flaps and ""camel-back"", of rubber",
1578,"36111","New pneumatic tyres, of rubber, of a kind used on motor cars",
1579,"36112","New pneumatic tyres, of rubber, of a kind used on motorcycles or bicycles",
1580,"36113","Other new pneumatic tyres, of rubber",
1581,"36114","Inner tubes, solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",
1582,"36115","""Camel-back"" strips for retreading rubber tyres",
1583,"3612","Retreaded pneumatic tyres, of rubber",
1584,"36120","Retreaded pneumatic tyres, of rubber",
1585,"362","Other rubber products",
1586,"3621","Reclaimed rubber",
1587,"36210","Reclaimed rubber",
1588,"3622","Unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; unvulcanized rubber in forms other than primary forms or plates, sheets or strip (except ""camel-back"" strips for retreading rubber tyres); articles of unvulcanized rubber; thread, cord, plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber",
1589,"36220","Unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; unvulcanized rubber in forms other than primary forms or plates, sheets or strip (except ""camel-back"" strips for retreading rubber tyres); articles of unvulcanized rubber; thread, cord, plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber",
1590,"3623","Tubes, pipes and hoses of vulcanized rubber other than hard rubber",
1591,"36230","Tubes, pipes and hoses of vulcanized rubber other than hard rubber",
1592,"3624","Conveyor or transmission belts or belting, of vulcanized rubber",
1593,"36240","Conveyor or transmission belts or belting, of vulcanized rubber",
1594,"3625","Rubberized textile fabrics, except tyre cord fabric",
1595,"36250","Rubberized textile fabrics, except tyre cord fabric",
1596,"3626","Articles of apparel and clothing accessories (including gloves) of vulcanized rubber other than hard rubber",
1597,"36260","Articles of apparel and clothing accessories (including gloves) of vulcanized rubber other than hard rubber",
1598,"3627","Articles of vulcanized rubber n.e.c.; hard rubber; articles of hard rubber",
1599,"36270","Articles of vulcanized rubber n.e.c.; hard rubber; articles of hard rubber",
1600,"363","Semi-manufactures of plastics",
1601,"3631","Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, of plastics",
1602,"36310","Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, of plastics",
1603,"3632","Tubes, pipes and hoses, and fittings therefor, of plastics",
1604,"36320","Tubes, pipes and hoses, and fittings therefor, of plastics",
1605,"3633","Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",
1606,"36330","Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",
1607,"3639","Other plates, sheets, film, foil and strip, of plastics",
1608,"36390","Other plates, sheets, film, foil and strip, of plastics",
1609,"364","Packaging products of plastics",
1610,"3641","Sacks and bags, of plastics",
1611,"36410","Sacks and bags, of plastics",
1612,"3649","Other articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics",
1613,"36490","Other articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics",
1614,"369","Other plastics products",
1615,"3691","Floor coverings of plastics, in rolls or in the form of tiles; wall or ceiling coverings of plastics",
1616,"36910","Floor coverings of plastics, in rolls or in the form of tiles; wall or ceiling coverings of plastics",
1617,"3692","Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics",
1618,"36920","Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics",
1619,"3693","Baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary ware, of plastics",
1620,"36930","Baths, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary ware, of plastics",
1621,"3694","Tableware, kitchenware, other household articles and toilet articles, of plastics",
1622,"36940","Tableware, kitchenware, other household articles and toilet articles, of plastics",
1623,"3695","Builders' ware of plastics n.e.c.",
1624,"36950","Builders' ware of plastics n.e.c.",
1625,"3696","Parts n.e.c. of lamps, lighting fittings, illuminated signs, illuminated name-plates and the like, of plastics",
1626,"36960","Parts n.e.c. of lamps, lighting fittings, illuminated signs, illuminated name-plates and the like, of plastics",
1627,"3697","Safety headgear; other headgear of rubber or plastics",
1628,"36971","Safety headgear",
1629,"36972","Other headgear of rubber or plastics",
1630,"3698","Electrical insulating fittings of plastics",
1631,"36980","Electrical insulating fittings of plastics",
1632,"3699","Articles of plastics n.e.c.",
1633,"36990","Articles of plastics n.e.c.",
1634,"37","Glass and glass products and other non-metallic products n.e.c.",
1635,"371","Glass and glass products",
1636,"3711","Unworked glass, flat glass and pressed or moulded glass for construction; glass mirrors",
1637,"37111","Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",
1638,"37112","Unworked cast, rolled, drawn or blown glass, in sheets",
1639,"37113","Float glass and surface ground or polished glass, in sheets",
1640,"37114","Glass in sheets, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed, etc.",
1641,"37115","Safety glass",
1642,"37116","Glass mirrors; multiple walled insulating units of glass",
1643,"37117","Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",
1644,"3712","Glass fibres and articles thereof, except woven fabrics",
1645,"37121","Slivers, rovings, yarn and chopped strands, of glass",
1646,"37129","Voiles, webs, mats, mattresses, boards and other articles of glass fibres, except woven fabrics",
1647,"3719","Other glass articles",
1648,"37191","Bottles, jars, phials and other containers, of glass, of a kind used for the conveyance or packing of goods, except ampoules; stoppers, lids and other closures, of glass",
1649,"37192","Glass envelopes, open, and glass parts thereof, for electric lamps, cathode-ray tubes or the like",
1650,"37193","Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (except bottles, jars and the like, of glass, and ornaments of lamp-worked glass)",
1651,"37194","Clock or watch glasses and similar glasses; glasses for spectacles, not optically worked; hollow glass spheres and their segments for the manufacture of such glasses",
1652,"37195","Laboratory, hygienic or pharmaceutical glassware; ampoules of glass",
1653,"37196","Parts n.e.c. of lamps, lighting fittings, illuminated signs, illuminated name-plates and the like, of glass",
1654,"37197","Electrical insulators of glass",
1655,"37199","Articles of glass n.e.c. (including glass inners for vacuum flasks, signalling glassware, glass cubes for mosaics, glass beads, glass microspheres and ornaments of lamp-worked glass)",
1656,"372","Non-structural ceramic ware",
1657,"3721","Ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary fixtures",
1658,"37210","Ceramic sinks, baths, water closet pans, flushing cisterns and similar sanitary fixtures",
1659,"3722","Ceramic household and ornamental articles",
1660,"37221","Ceramic tableware, kitchenware, other household articles and toilet articles",
1661,"37222","Statuettes and other ornamental ceramic articles",
1662,"3729","Other non-structural ceramic wares",
1663,"37291","Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods",
1664,"37292","Electrical insulators of ceramics; insulating fittings, for electrical machines, appliances or equipment, of ceramics",
1665,"37299","Other non-structural ceramic articles n.e.c.",
1666,"373","Refractory products and structural non-refractory clay products",
1667,"3731","Bricks, blocks, tiles and other ceramic goods of siliceous earths",
1668,"37310","Bricks, blocks, tiles and other ceramic goods of siliceous earths",
1669,"3732","Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods, other than those of siliceous earths",
1670,"37320","Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods, other than those of siliceous earths",
1671,"3733","Refractory cements, mortars, concretes and similar compositions n.e.c.",
1672,"37330","Refractory cements, mortars, concretes and similar compositions n.e.c.",
1673,"3734","Unfired refractory products; other refractory ceramic goods",
1674,"37340","Unfired refractory products; other refractory ceramic goods",
1675,"3735","Non-refractory ceramic building bricks, flooring blocks, support or filler tiles, roofing tiles, chimney-pots, cowls, chimney liners, architectural ornaments and other ceramic construction goods",
1676,"37350","Non-refractory ceramic building bricks, flooring blocks, support or filler tiles, roofing tiles, chimney-pots, cowls, chimney liners, architectural ornaments and other ceramic construction goods",
1677,"3736","Non-refractory ceramic pipes, conduits, guttering and pipe fittings",
1678,"37360","Non-refractory ceramic pipes, conduits, guttering and pipe fittings",
1679,"3737","Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like",
1680,"37370","Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like",
1681,"374","Plaster, lime and cement",
1682,"3741","Plasters",
1683,"37410","Plasters",
1684,"3742","Quicklime, slaked lime and hydraulic lime",
1685,"37420","Quicklime, slaked lime and hydraulic lime",
1686,"3743","Cement clinkers",
1687,"37430","Cement clinkers",
1688,"3744","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",
1689,"37440","Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",
1690,"3745","Calcinated or agglomerated dolomite",
1691,"37450","Calcinated or agglomerated dolomite",
1692,"375","Articles of concrete, cement and plaster",
1693,"3751","Non-refractory mortars and concretes",
1694,"37510","Non-refractory mortars and concretes",
1695,"3752","Boards, blocks and similar articles of vegetable fibre, straw or wood waste agglomerated with mineral binders",
1696,"37520","Boards, blocks and similar articles of vegetable fibre, straw or wood waste agglomerated with mineral binders",
1697,"3753","Articles of plaster or of compositions based on plaster",
1698,"37530","Articles of plaster or of compositions based on plaster",
1699,"3754","Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",
1700,"37540","Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",
1701,"3755","Prefabricated structural components for building or civil engineering, of cement, concrete or artificial stone",
1702,"37550","Prefabricated structural components for building or civil engineering, of cement, concrete or artificial stone",
1703,"3756","Other articles of cement, concrete or artificial stone",
1704,"37560","Other articles of cement, concrete or artificial stone",
1705,"3757","Articles of asbestos-cement, cellulose fibre-cement or the like",
1706,"37570","Articles of asbestos-cement, cellulose fibre-cement or the like",
1707,"376","Monumental or building stone and articles thereof",
1708,"3761","Marble, travertine and alabaster, worked, and articles thereof (except setts, curbstones, flagstones, tiles, cubes and similar articles); artificially coloured granules, chippings and powder of marble, travertine and alabaster",
1709,"37610","Marble, travertine and alabaster, worked, and articles thereof (except setts, curbstones, flagstones, tiles, cubes and similar articles); artificially coloured granules, chippings and powder of marble, travertine and alabaster",
1710,"3769","Other worked monumental or building stone and articles thereof; other artificially coloured granules, chippings and powder of natural stone; articles of agglomerated slate",
1711,"37690","Other worked monumental or building stone and articles thereof; other artificially coloured granules, chippings and powder of natural stone; articles of agglomerated slate",
1712,"379","Other non-metallic mineral products n.e.c.",
1713,"3791","Millstones, grindstones, grinding wheels and the like, without frameworks, for working stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics; natural or artificial abrasive powder or grain, on a base of textile, paper or other material",
1714,"37910","Millstones, grindstones, grinding wheels and the like, without frameworks, for working stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics; natural or artificial abrasive powder or grain, on a base of textile, paper or other material",
1715,"3792","Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate; articles of such mixtures, or of asbestos",
1716,"37920","Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate; articles of such mixtures, or of asbestos",
1717,"3793","Articles of asphalt or of similar material",
1718,"37930","Articles of asphalt or of similar material",
1719,"3794","Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related substances as a binder",
1720,"37940","Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related substances as a binder",
1721,"3795","Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of semi-manufactures",
1722,"37950","Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of semi-manufactures",
1723,"3796","Artificial corundum",
1724,"37960","Artificial corundum",
1725,"3799","Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, articles of mica, non-electrical articles of graphite or other carbon and articles of peat)",
1726,"37990","Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, articles of mica, non-electrical articles of graphite or other carbon and articles of peat)",
1727,"38","Furniture; other transportable goods n.e.c.",
1728,"381","Furniture",
1729,"3811","Seats",
1730,"38111","Seats, primarily with metal frames",
1731,"38112","Seats, primarily with wooden frames",
1732,"38119","Other seats",
1733,"3812","Other furniture, of a kind used in offices",
1734,"38121","Other metal furniture, of a kind used in offices",
1735,"38122","Other wooden furniture, of a kind used in offices",
1736,"3813","Other wooden furniture, of a kind used in the kitchen",
1737,"38130","Other wooden furniture, of a kind used in the kitchen",
1738,"3814","Other furniture n.e.c.",
1739,"38140","Other furniture n.e.c.",
1740,"3815","Mattress supports; mattresses, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered",
1741,"38150","Mattress supports; mattresses, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered",
1742,"3816","Parts of furniture",
1743,"38160","Parts of furniture",
1744,"382","Jewellery and related articles",
1745,"3821","Pearls, natural or cultured and unworked",
1746,"38210","Pearls, natural or cultured and unworked",
1747,"3822","Cultured pearls, precious or semi-precious stones, and synthetic or reconstructed precious or semi-precious stones (except industrial diamonds and piezo-electric quartz), worked (except simply sawn, cleaved, bruted or roughly shaped), but not strung, mounted or set",
1748,"38220","Cultured pearls, precious or semi-precious stones, and synthetic or reconstructed precious or semi-precious stones (except industrial diamonds and piezo-electric quartz), worked (except simply sawn, cleaved, bruted or roughly shaped), but not strung, mounted or set",
1749,"3823","Industrial diamonds, worked; dust and powder of natural or synthetic precious or semi-precious stones",
1750,"38230","Industrial diamonds, worked; dust and powder of natural or synthetic precious or semi-precious stones",
1751,"3824","Jewellery and other articles of precious metal or of metal clad with precious metal; articles of natural or cultured pearls or precious or semi-precious stones (natural, synthetic or reconstructed)",
1752,"38240","Jewellery and other articles of precious metal or of metal clad with precious metal; articles of natural or cultured pearls or precious or semi-precious stones (natural, synthetic or reconstructed)",
1753,"3825","Coin",
1754,"38250","Coin",
1755,"383","Musical instruments",
1756,"3831","Pianos and other keyboard stringed musical instruments",
1757,"38310","Pianos and other keyboard stringed musical instruments",
1758,"3832","Other string musical instruments",
1759,"38320","Other string musical instruments",
1760,"3833","Wind musical instruments (including pipe organs, accordians and brass-wind instruments)",
1761,"38330","Wind musical instruments (including pipe organs, accordians and brass-wind instruments)",
1762,"3834","Musical instruments, the sound of which is produced, or must be amplified, electrically",
1763,"38340","Musical instruments, the sound of which is produced, or must be amplified, electrically",
1764,"3835","Other musical instruments (including percussion instruments, musical boxes and fairground organs); decoy calls; whistles, call horns and other mouth-blown sound signalling instruments",
1765,"38350","Other musical instruments (including percussion instruments, musical boxes and fairground organs); decoy calls; whistles, call horns and other mouth-blown sound signalling instruments",
1766,"3836","Parts and accessories of musical instruments; metronomes, tuning forks and pitch pipes",
1767,"38360","Parts and accessories of musical instruments; metronomes, tuning forks and pitch pipes",
1768,"384","Sports goods",
1769,"3841","Snow-skis and other snow-ski equipment; ice-skates and roller-skates",
1770,"38410","Snow-skis and other snow-ski equipment; ice-skates and roller-skates",
1771,"3842","Water-skis, surf-boards, sailboards and other water-sport equipment",
1772,"38420","Water-skis, surf-boards, sailboards and other water-sport equipment",
1773,"3843","Gymnasium or athletics articles and equipment",
1774,"38430","Gymnasium or athletics articles and equipment",
1775,"3844","Other articles and equipment for sports or outdoor games",
1776,"38440","Other articles and equipment for sports or outdoor games","This subclass includes:- sports gloves- balls- golf clubs- equipment for table-tennis, tennis racquets etc.- swimming pools and paddling pools"
1777,"3845","Fishing rods and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy ""birds"" and similar hunting or shooting requisites",
1778,"38450","Fishing rods and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy ""birds"" and similar hunting or shooting requisites",
1779,"385","Games and toys",
1780,"3851","Dolls' carriages; wheeled toys designed to be ridden by children",
1781,"38510","Dolls' carriages; wheeled toys designed to be ridden by children","This subclass includes:- dolls' carriages, including folding types- wheeled toys designed to be ridden by children:* children's tricycles and the like* scooters* pedal- or hand-propelled wheeled toys in the form of animals* pedal cars, frequently in the form of miniature sports cars, jeeps, lorries, etc.* wheeled toys, propelled by hand levers* other wheeled toys (with no mechanical transmission system) which are designed to be drawn or pushed and are large enough for children to ride in* children's cars powered by a motorThis subclass does not include:- bicycles, cf. 49921"
1782,"3852","Dolls representing human beings; toys representing animals or non-human creatures",
1783,"38520","Dolls representing human beings; toys representing animals or non-human creatures","This subclass includes:- dolls representing human beings:* dolls designed for the amusement of children* dolls intended for decorative purposes (e.g., boudoir dolls, mascot dolls)* dolls for use in Punch and Judy or marionette shows* dolls of a caricature type- toys representing animals or non-human creatures even if possessing predominantly human physical characteristics (e.g., angels, robots, devils, monsters), including those for use in marionette shows, whether stuffed or notThe dolls and toys may be made of any material, may contain mechanisms to permit movements or voice reproduction and may be dressed."
1784,"3853","Parts and accessories of dolls representing human beings",
1785,"38530","Parts and accessories of dolls representing human beings","This subclass includes:- parts and accessories of dolls, such as:* heads, bodies, limbs* eyes (except of glass) and moving mechanisms for eyes* voice-producing or other mechanisms* wigs* dolls' clothing shoes and hatsThis subclass does not include:- glass eyes for dolls and stuffed animals, cf. 37199"
1786,"3854","Toy electric trains and tracks, signals and other accessories therefor; reduced-size (""scale"") model assembly kits and other construction sets and constructional toys",
1787,"38540","Toy electric trains and tracks, signals and other accessories therefor; reduced-size (""scale"") model assembly kits and other construction sets and constructional toys","This subclass includes:- toy vehicles, whether electric or not, such as:* trains, aircraft, boats, etc.- accessories for toy vehicles, such as:* railway tracks, signals, etc.- non-electric toy motors, toy steam engines etc.- reduced-size (""scale"") models and similar recreational models, such as:* working or scale models of boats, aircraft, trains, vehicles, etc.- kits of materials and parts for making such models- life-size or enlarged reproductions of articles, as long as they are for recreational purposes- constructional toys, i.e. construction sets, building blocks, etc.This subclass does not include:- electric toy motors, cf. 46111"
1788,"3855","Puzzles",
1789,"38550","Puzzles","This subclass includes:- puzzles of all kinds"
1790,"3856","Other toys (including toy musical instruments)",
1791,"38560","Other toys (including toy musical instruments)","This subclass includes:- toy musical instruments:* pianos, trumpets, drums, gramophones, mouth organs, accordions, xylophones, musical boxes, etc.- dolls' houses and furniture, including bedding- toy shops and the like, farmyard sets, etc.- dolls' tea and coffee sets- toy sports equipment, such as:* golf sets, tennis sets, archery sets, billiard sets, baseball bats, cricket bats, hockey sticks- toy pistols and guns- tin soldiers and the like, and toy armaments- toy tools and implements; children's wheelbarrows- toy cinematographs, magic lanterns, etc.; toy spectacles- toy counting frames (abaci)- toy sewing machines- toy clocks and watches- educational toys:* toy chemistry, printing, sewing and knitting sets- hoops, skipping ropes, diabolo spools and sticks, spinning and humming tops, balls- toy balloons and toy kites- books or sheets consisting essentially of pictures, toys or models, for cutting out and assembly- also books containing "" stand-up "" or movable figures, as long as they have the essential character of toys- toy marbles- toy money boxes; babies' rattles, jack-in-the-boxes; toy theatres with or without figures, etc.- play tents for use by children indoors or outdoors"
1792,"3857","Playing cards",
1793,"38570","Playing cards",
1794,"3858","Video games of a kind used with a television receiver",
1795,"38581","Video game consoles","This subclass includes:- video game consoles of a kind used with a television receiver- hand-held video game consoles"
1796,"38582","Software cartridges for video game consoles","This subclass includes:- software for cartridges for video gamesThis subclass does not include:- video game software provided on media other than cartridges, like CDs or DVDs, cf. 47822"
1797,"3859","Other articles for funfair, table or parlour games (including articles for billiards, pintables, special tables for casino games and automatic bowling alley equipment), except video games of a kind used with a television receiver",
1798,"38590","Other articles for funfair, table or parlour games (including articles for billiards, pintables, special tables for casino games and automatic bowling alley equipment), except video games of a kind used with a television receiver",
1799,"386","Roundabouts, swings, shooting galleries and other fairground amusements",
1800,"3860","Roundabouts, swings, shooting galleries and other fairground amusements",
1801,"38600","Roundabouts, swings, shooting galleries and other fairground amusements",
1802,"387","Prefabricated buildings",
1803,"3870","Prefabricated buildings","This class includes:- prefabricated buildings, either unassembled or fully assembled and ready to use- incomplete buildings, whether or not assembled, having the essential character of prefabricated buildingsNote: The buildings can be designed for housing, worksite accommodation, shops, sheds, garages, greenhouses and other purposes and can be made of different materials."
1804,"38701","Prefabricated buildings, of wood","This subclass includes:- prefabricated buildings, predominantly made of wood"
1805,"38702","Prefabricated buildings, of metal","This subclass includes:- prefabricated buildings, predominantly made of metal"
1806,"38703","Prefabricated buildings, of plastics","This subclass includes:- prefabricated buildings, predominantly made of plastics"
1807,"38704","Prefabricated buildings, of concrete","This subclass includes:- prefabricated buildings, predominantly made of concrete"
1808,"389","Other manufactured articles n.e.c.",
1809,"3891","Pens, pencils, stamps, typewriter or similar ribbons, ink-pads and similar articles",
1810,"38911","Pens, duplicating stylos, pencils, pen-holders, pencil-holders and similar holders, and parts thereof; crayons, pencil leads, pastels, drawing charcoals and chalks",
1811,"38912","Date, sealing or numbering stamps, and the like, designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such sticks; typewriter or similar ribbons, prepared for giving impressions; ink-pads",
1812,"3892","Umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops, buttons, press-fasteners, snap-fasteners, press-studs, slide fasteners and parts thereof; button blanks",
1813,"38921","Umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops and the like",
1814,"38922","Parts, trimmings and accessories of umbrellas, sun-umbrellas, walking-sticks, seat-sticks, whips, riding-crops and the like",
1815,"38923","Press-fasteners, snap-fasteners, press-studs and parts therefor; buttons; slide fasteners",
1816,"38924","Button moulds and other parts of buttons; button blanks; parts of slide fasteners",
1817,"3893","Linoleum",
1818,"38930","Linoleum",
1819,"3894","Photographic plates, film, paper, paperboard and textiles, exposed",
